 Flow_Duration, Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets, Fwd_Packet_Length_Max,Fwd_Packet_Length_Min, Fwd_Packet_Length_Mean, Fwd_Packet_Length_Std,Bwd_Packet_Length_Max, Bwd_Packet_Length_Min, Bwd_Packet_Length_Mean, Bwd_Packet_Length_Std,Flow_Bytes, Flow_Packets,Class
68237,3,4,520,252,514,0,173.3333333,295.0412401,240,0,63,118.0338934,11313.51027,102.5836423,BENIGN
59971,1,1,47,175,47,47,47,0,175,175,175,0,3701.789198,33.34945224,BENIGN
75592212,5,10,11613,68,11595,0,2322.6,5183.42983,20,0,6.8,5.006662228,154.5265007,0.19843314,BENIGN
55,1,1,0,0,0,0,0,0,0,0,0,0,0,36363.63636,BENIGN
262,3,0,0,0,0,0,0,0,0,0,0,0,0,11450.38168,BENIGN
95125,1,1,0,0,0,0,0,0,0,0,0,0,0,21.02496715,BENIGN
6612939,16,16,2028,12256,850,0,126.75,234.6016482,2920,2,766,832.3308637,2160.007827,4.838998212,BENIGN
186158,47,56,1319,108737,570,0,28.06382979,110.2994746,2896,0,1941.732143,922.2032214,591196.7254,553.2934389,BENIGN
118739865,40,39,31166,20855,5792,0,779.15,1630.787171,1461,0,534.7435897,657.4077369,438.1089704,0.665319941,BENIGN
170,2,2,90,122,45,45,45,0,61,61,61,0,1247058.824,23529.41176,BENIGN
313,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,118210.8626,6389.776358,BENIGN
5664045,8,5,372,4993,191,0,46.5,71.87687886,1815,0,998.6,812.0928518,947.2029265,2.295179505,BENIGN
6978,2,0,0,0,0,0,0,0,0,0,0,0,0,286.615076,BENIGN
116513855,18,15,1298,506,604,0,72.11111111,193.508136,250,0,33.73333333,87.8175598,15.48313718,0.283228119,BENIGN
4,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0,0,19300000,750000,BENIGN
71666,9,6,567,6368,208,0,63,80.81460264,2636,0,1061.333333,1010.227433,96768.34203,209.3042726,BENIGN
5289883,9,5,348,3763,191,0,38.66666667,70.58859681,1448,0,752.6,670.6003281,777.1438423,2.64656137,BENIGN
5693883,9,7,381,4836,194,0,42.33333333,69.39380376,1460,0,690.8571429,679.9898108,916.246435,2.810033153,BENIGN
22602,1,1,48,48,48,48,48,0,48,48,48,0,4247.411733,88.48774445,BENIGN
114905964,230,477,24253,902126,1539,0,105.4478261,377.8357056,4344,0,1891.249476,916.032064,8062.061948,6.152857305,BENIGN
162462,4,2,204,322,51,51,51,0,161,161,161,0,3237.680196,36.93171326,BENIGN
18503,6,3,11607,26,5840,0,1934.5,2558.396197,20,0,8.666666667,10.26320288,628708.858,486.4076096,BENIGN
62746163,21,17,2804,7803,642,0,133.5238095,237.3469231,1460,2,459,541.4143515,169.0461933,0.605614721,BENIGN
260,3,1,77,6,46,0,25.66666667,23.45918441,6,6,6,0,319230.7692,15384.61538,BENIGN
466,1,1,58,117,58,58,58,0,117,117,117,0,375536.4807,4291.845494,BENIGN
26479,17,12,3452,6660,1313,0,203.0588235,425.7784739,3069,0,555,977.4803416,381887.5335,1095.207523,BENIGN
59901,2,0,12,0,6,6,6,0,0,0,0,0,200.3305454,33.38842423,BENIGN
4,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,9250000,500000,BENIGN
82539397,6,10,11607,68,5840,0,1934.5,2375.523332,20,0,6.8,5.006662228,141.4476047,0.193846824,BENIGN
4101300,5,2,135,52,46,6,27,20.1246118,46,6,26,28.28427125,45.59529905,1.7067759,BENIGN
107884,1,1,51,209,51,51,51,0,209,209,209,0,2409.995922,18.53843017,BENIGN
24253,2,2,68,158,34,34,34,0,79,79,79,0,9318.434833,164.9280501,BENIGN
47177,1,1,40,56,40,40,40,0,56,56,56,0,2034.889883,42.39353922,BENIGN
23897,2,2,72,104,36,36,36,0,52,52,52,0,7364.941206,167.3850274,BENIGN
166613,9,7,534,4414,206,0,59.33333333,81.32189127,1430,0,630.5714286,678.2698227,29697.56262,96.03092196,BENIGN
11145977,1,5,6,30,6,6,6,0,6,6,6,0,3.22986491,0.538310818,BENIGN
31254,2,2,78,290,39,39,39,0,145,145,145,0,11774.49286,127.9836181,BENIGN
67453187,17,21,10713,7576,2053,0,630.1764706,829.6192075,2920,0,360.7619048,747.3723239,271.1361881,0.563353663,BENIGN
272,2,2,66,450,33,33,33,0,225,225,225,0,1897058.824,14705.88235,BENIGN
365542,5,6,755,469,468,0,151,200.3471986,287,2,78.16666667,114.4681906,3348.452435,30.0923013,BENIGN
11136854,1,5,6,30,6,6,6,0,6,6,6,0,3.232510725,0.538751788,BENIGN
4,1,1,6,6,6,6,6,0,6,6,6,0,3000000,500000,BENIGN
32905,1,1,6,6,6,6,6,0,6,6,6,0,364.6862179,60.78103632,BENIGN
40191,1,1,58,145,58,58,58,0,145,145,145,0,5050.882038,49.76238461,BENIGN
48894,2,2,66,98,33,33,33,0,49,49,49,0,3354.194789,81.80962899,BENIGN
436102,7,2,11601,26,5840,0,1657.285714,2128.375336,20,6,13,9.899494937,26661.19394,20.63737383,BENIGN
594,1,1,48,88,48,48,48,0,88,88,88,0,228956.229,3367.003367,BENIGN
28359,1,1,49,97,49,49,49,0,97,97,97,0,5148.277443,70.52434853,BENIGN
30560,1,1,49,114,49,49,49,0,114,114,114,0,5333.769634,65.44502618,BENIGN
186,2,2,84,148,42,42,42,0,74,74,74,0,1247311.828,21505.37634,BENIGN
165,2,2,78,180,39,39,39,0,90,90,90,0,1563636.364,24242.42424,BENIGN
91,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6,0,538461.5385,43956.04396,BENIGN
1312314,9,11,703,3950,267,0,78.11111111,103.3022803,1448,0,359.0909091,569.9183195,3545.645326,15.240255,BENIGN
23701,1,1,49,65,49,49,49,0,65,65,65,0,4809.923632,84.38462512,BENIGN
14944660,2,2,108,229,55,53,54,1.414213562,158,71,114.5,61.51828996,22.54986062,0.267654132,BENIGN
31427,1,1,50,66,50,50,50,0,66,66,66,0,3691.093646,63.63954561,BENIGN
200,2,2,64,204,32,32,32,0,102,102,102,0,1340000,20000,BENIGN
16536,3,2,18,12,6,6,6,0,6,6,6,0,1814.223512,302.3705854,BENIGN
24384,4,2,128,238,32,32,32,0,119,119,119,0,15009.84252,246.0629921,BENIGN
4286712,5,1,123,46,46,0,24.6,23.27659769,46,46,46,0,39.42415539,1.399674156,BENIGN
15290774,10,12,1268,7392,664,0,126.8,248.3213867,1448,0,616,730.0541698,566.3545874,1.438776088,BENIGN
665504,2,2,64,340,32,32,32,0,170,170,170,0,607.0587104,6.010482281,BENIGN
30912,4,2,176,200,44,44,44,0,100,100,100,0,12163.56108,194.0993789,BENIGN
81600910,2,2,88,176,44,44,44,0,116,60,88,39.59797975,3.235258038,0.049019061,BENIGN
1833752,7,2,11607,26,5755,0,1658.142857,2421.777338,20,6,13,9.899494937,6343.824029,4.907970107,BENIGN
5449223,3,1,0,0,0,0,0,0,0,0,0,0,0,0.734049607,BENIGN
4235229,5,1,135,46,46,6,27,20.1246118,46,46,46,0,42.73676819,1.416688448,BENIGN
243,2,2,168,424,84,84,84,0,212,212,212,0,2436213.992,16460.90535,BENIGN
19733,2,0,12,0,6,6,6,0,0,0,0,0,608.1183804,101.3530634,BENIGN
98,3,0,49,0,37,6,16.33333333,17.89785834,0,0,0,0,500000,30612.2449,BENIGN
47034,1,1,64,117,64,64,64,0,117,117,117,0,3848.279968,42.52243058,BENIGN
36518,1,1,48,48,48,48,48,0,48,48,48,0,2628.840572,54.76751191,BENIGN
29789348,38,36,998,22985,341,0,26.26315789,69.68061664,2920,0,638.4722222,930.7200127,805.0864356,2.484109421,BENIGN
31763,2,2,80,202,40,40,40,0,101,101,101,0,8878.254573,125.932689,BENIGN
48,2,0,12,0,6,6,6,0,0,0,0,0,250000,41666.66667,BENIGN
250,2,2,64,258,32,32,32,0,129,129,129,0,1288000,16000,BENIGN
220206,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,195.2717001,13.62360699,BENIGN
3,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,12300000,666666.6667,BENIGN
80156835,6,10,11613,68,7300,0,1935.5,3138.79504,20,0,6.8,5.006662228,145.7268117,0.19960868,BENIGN
70332366,13,16,3382,4443,2789,0,260.1538462,766.7451604,1460,0,277.6875,530.7748699,111.2574544,0.412327946,BENIGN
175407,11,8,596,3344,200,0,54.18181818,73.08189678,1491,0,418,658.8130019,22462.04541,108.3195083,BENIGN
165,2,2,82,114,41,41,41,0,57,57,57,0,1187878.788,24242.42424,BENIGN
73552495,7,10,11613,68,5840,0,1659,2429.621575,20,0,6.8,5.006662228,158.8117439,0.231127442,BENIGN
194,2,0,0,0,0,0,0,0,0,0,0,0,0,10309.27835,BENIGN
7757907,1,6,6,36,6,6,6,0,6,6,6,0,5.413831334,0.902305222,BENIGN
15866286,13,15,3546,6781,1598,0,272.7692308,589.0236489,1632,0,452.0666667,662.4475685,650.8769601,1.764748221,BENIGN
5,1,1,6,6,6,6,6,0,6,6,6,0,2400000,400000,BENIGN
250207,7,4,11607,24,4380,6,1658.142857,1560.90961,6,6,6,0,46485.51,43.96359814,BENIGN
23320,1,1,50,66,50,50,50,0,66,66,66,0,4974.271012,85.76329331,BENIGN
305,2,0,0,0,0,0,0,0,0,0,0,0,0,6557.377049,BENIGN
23322,1,1,6,6,6,6,6,0,6,6,6,0,514.5356316,85.7559386,BENIGN
93001,4,2,168,414,42,42,42,0,207,207,207,0,6257.997226,64.51543532,BENIGN
180,2,2,64,96,32,32,32,0,48,48,48,0,888888.8889,22222.22222,BENIGN
49096,2,2,98,662,49,49,49,0,331,331,331,0,15479.87616,81.47303243,BENIGN
5493278,1,5,6,30,6,6,6,0,6,6,6,0,6.55346407,1.092244012,BENIGN
6640707,1,6,1375,30,1375,1375,1375,0,6,0,5,2.449489743,211.573858,1.054104631,BENIGN
200,2,2,46,46,23,23,23,0,23,23,23,0,460000,20000,BENIGN
265,2,2,74,178,37,37,37,0,89,89,89,0,950943.3962,15094.33962,BENIGN
60614,2,2,64,140,32,32,32,0,70,70,70,0,3365.559112,65.99135513,BENIGN
178,2,2,72,136,36,36,36,0,68,68,68,0,1168539.326,22471.91011,BENIGN
189,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6,0,259259.2593,21164.02116,BENIGN
115573781,31,25,4609,9268,1460,0,148.6774194,382.4835846,1460,0,370.72,574.3810089,120.0704855,0.484538963,BENIGN
142,2,2,96,96,48,48,48,0,48,48,48,0,1352112.676,28169.01408,BENIGN
194,2,2,66,98,33,33,33,0,49,49,49,0,845360.8247,20618.5567,BENIGN
153,2,0,12,0,6,6,6,0,0,0,0,0,78431.37255,13071.89542,BENIGN
80,1,1,6,6,6,6,6,0,6,6,6,0,150000,25000,BENIGN
49133,2,2,112,224,56,56,56,0,112,112,112,0,6838.580994,81.41167851,BENIGN
206,2,2,64,176,32,32,32,0,88,88,88,0,1165048.544,19417.47573,BENIGN
117892619,151,213,3624,381436,273,0,24,52.11090737,4230,0,1790.779343,942.7075484,3266.192602,3.087555464,BENIGN
30529,4,4,164,412,41,41,41,0,103,103,103,0,18867.3065,262.0459235,BENIGN
24344,2,2,70,338,35,35,35,0,169,169,169,0,16759.77654,164.3115347,BENIGN
81665,2,1,0,0,0,0,0,0,0,0,0,0,0,36.73544358,BENIGN
202,2,0,0,0,0,0,0,0,0,0,0,0,0,9900.990099,BENIGN
118620391,16,18,1169,5076,500,0,73.0625,128.6382363,1430,0,282,480.4808866,52.64693488,0.286628629,BENIGN
100996,4,2,172,234,43,43,43,0,117,117,117,0,4019.961187,59.4082934,BENIGN
4,2,0,0,0,0,0,0,0,0,0,0,0,0,500000,BENIGN
60071593,17,20,1105,17486,517,0,65,154.6023124,2920,0,874.3,1085.57984,309.4807224,0.615931727,BENIGN
79,2,0,12,0,6,6,6,0,0,0,0,0,151898.7342,25316.4557,BENIGN
31124,2,2,68,182,34,34,34,0,91,91,91,0,8032.386583,128.5181853,BENIGN
380396,27,30,1282,48870,572,0,47.48148148,116.1608203,4380,0,1629,1048.512773,131841.5546,149.8438469,BENIGN
114,2,2,188,334,94,94,94,0,167,167,167,0,4578947.368,35087.7193,BENIGN
50346,6,5,4115,836,2637,0,685.8333333,1119.220517,816,2,167.2,362.6943617,98339.49072,218.4880626,BENIGN
118383697,22,21,1375,6122,563,0,62.5,144.6186282,1460,0,291.5238095,496.4021171,63.32797666,0.36322569,BENIGN
3280437,6,7,548,3157,342,0,91.33333333,143.0841244,1460,0,451,589.3267345,1129.422696,3.962886652,BENIGN
1,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,31000000,2000000,BENIGN
3716092,1,1,6,31,6,6,6,0,31,31,31,0,9.956696443,0.538199808,BENIGN
6018302,8,6,613,4419,342,0,76.625,125.6877509,1460,0,736.5,777.8163665,836.1162334,2.326237533,BENIGN
7576558,1,5,1375,24,1375,1375,1375,0,6,0,4.8,2.683281573,184.6484908,0.791916329,BENIGN
194,2,2,78,110,39,39,39,0,55,55,55,0,969072.1649,20618.5567,BENIGN
3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,BENIGN
195,2,2,60,264,30,30,30,0,132,132,132,0,1661538.462,20512.82051,BENIGN
3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,BENIGN
140,2,2,82,114,41,41,41,0,57,57,57,0,1400000,28571.42857,BENIGN
71283,1,1,49,161,49,49,49,0,161,161,161,0,2946.003956,28.05718053,BENIGN
267092,6,4,11607,24,5840,6,1934.5,2200.02525,6,6,6,0,43546.79287,37.44028275,BENIGN
4043561,1,6,1375,30,1375,1375,1375,0,6,0,5,2.449489743,347.4660083,1.731147372,BENIGN
4,2,0,124,0,62,62,62,0,0,0,0,0,31000000,500000,BENIGN
48138,1,1,67,126,67,67,67,0,126,126,126,0,4009.306577,41.54721841,BENIGN
51108,1,1,57,96,57,57,57,0,96,96,96,0,2993.660484,39.13281678,BENIGN
41,1,1,6,6,6,6,6,0,6,6,6,0,292682.9268,48780.4878,BENIGN
48310,4,2,160,248,40,40,40,0,124,124,124,0,8445.456427,124.1978886,BENIGN
1819471,7,2,11607,26,5840,0,1658.142857,2430.302891,20,6,13,9.899494937,6393.616606,4.946492689,BENIGN
182672,1,1,44,104,44,44,44,0,104,104,104,0,810.1953228,10.94858544,BENIGN
72692395,7,9,11607,62,4380,0,1658.142857,1762.272815,20,0,6.888888889,5.30199124,160.5257331,0.220105556,BENIGN
10308383,7,11,2098,6355,1512,0,299.7142857,566.7658877,1779,0,577.7272727,768.711271,820.0122172,1.746151652,BENIGN
2707700,1,6,1375,30,1375,1375,1375,0,6,0,5,2.449489743,518.8905713,2.585219928,BENIGN
53,1,1,6,6,6,6,6,0,6,6,6,0,226415.0943,37735.84906,BENIGN
118301100,36,32,4554,13318,693,0,126.5,244.8932712,1460,0,416.1875,578.5394534,151.0721371,0.574804461,BENIGN
7795,2,0,0,0,0,0,0,0,0,0,0,0,0,256.5747274,BENIGN
12063723,1,5,6,30,6,6,6,0,6,6,6,0,2.984153399,0.4973589,BENIGN
145,2,2,90,122,45,45,45,0,61,61,61,0,1462068.966,27586.2069,BENIGN
30,1,1,6,6,6,6,6,0,6,6,6,0,400000,66666.66667,BENIGN
66016364,2,2,96,96,48,48,48,0,48,48,48,0,2.90836981,0.060591038,BENIGN
5304399,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.262273257,0.754091086,BENIGN
24054,2,2,94,256,47,47,47,0,128,128,128,0,14550.5945,166.2925085,BENIGN
13,1,1,6,6,6,6,6,0,6,6,6,0,923076.9231,153846.1538,BENIGN
211,2,2,70,326,35,35,35,0,163,163,163,0,1876777.251,18957.34597,BENIGN
6763644,1,6,1375,30,1375,1375,1375,0,6,0,5,2.449489743,207.7282601,1.034945068,BENIGN
136,2,2,90,122,45,45,45,0,61,61,61,0,1558823.529,29411.76471,BENIGN
169902,2,2,80,274,40,40,40,0,137,137,137,0,2083.554049,23.5429836,BENIGN
166,1,1,6,6,6,6,6,0,6,6,6,0,72289.15663,12048.19277,BENIGN
221,2,2,102,306,51,51,51,0,153,153,153,0,1846153.846,18099.54751,BENIGN
112253889,23,18,7714,511,1995,0,335.3913043,590.4558901,73,0,28.38888889,36.61908678,73.27140354,0.365243471,BENIGN
16354,1,1,48,48,48,48,48,0,48,48,48,0,5870.123517,122.2942399,BENIGN
402,2,2,60,344,30,30,30,0,172,172,172,0,1004975.124,9950.248756,BENIGN
50458,1,1,52,116,52,52,52,0,116,116,116,0,3329.501764,39.63692576,BENIGN
121836,1,1,49,161,49,49,49,0,161,161,161,0,1723.628484,16.41550937,BENIGN
96060,1,1,49,344,49,49,49,0,344,344,344,0,4091.193004,20.82032063,BENIGN
48997,2,2,96,226,48,48,48,0,113,113,113,0,6571.830928,81.63765128,BENIGN
6656063,1,5,6,30,6,6,6,0,6,6,6,0,5.408602653,0.901433775,BENIGN
224,2,2,88,188,44,44,44,0,94,94,94,0,1232142.857,17857.14286,BENIGN
197,2,2,80,112,40,40,40,0,56,56,56,0,974619.2893,20304.56853,BENIGN
48,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,895833.3333,62500,BENIGN
215,2,2,74,202,37,37,37,0,101,101,101,0,1283720.93,18604.65116,BENIGN
30733,1,1,56,109,56,56,56,0,109,109,109,0,5368.821788,65.07662773,BENIGN
163,2,2,80,112,40,40,40,0,56,56,56,0,1177914.11,24539.8773,BENIGN
977,2,2,68,484,34,34,34,0,242,242,242,0,564994.8823,4094.165814,BENIGN
312,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,137820.5128,9615.384615,BENIGN
166,2,2,68,100,34,34,34,0,50,50,50,0,1012048.193,24096.38554,BENIGN
934,2,2,70,174,35,35,35,0,87,87,87,0,261241.97,4282.655246,BENIGN
542,1,1,0,0,0,0,0,0,0,0,0,0,0,3690.0369,BENIGN
180,2,2,76,270,38,38,38,0,135,135,135,0,1922222.222,22222.22222,BENIGN
23396,1,1,52,113,52,52,52,0,113,113,113,0,7052.487605,85.48469824,BENIGN
1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,BENIGN
1937090,2,0,12,0,6,6,6,0,0,0,0,0,6.194859299,1.03247655,BENIGN
171,2,2,88,188,44,44,44,0,94,94,94,0,1614035.088,23391.81287,BENIGN
211,2,2,66,98,33,33,33,0,49,49,49,0,777251.1848,18957.34597,BENIGN
1279281,7,2,11607,26,5840,0,1658.142857,2430.302891,20,6,13,9.899494937,9093.389177,7.035201805,BENIGN
30973,2,2,90,146,45,45,45,0,73,73,73,0,7619.539599,129.144739,BENIGN
233,2,2,64,96,32,32,32,0,48,48,48,0,686695.279,17167.38197,BENIGN
33,1,1,6,6,6,6,6,0,6,6,6,0,363636.3636,60606.06061,BENIGN
40395,2,0,12,0,6,6,6,0,0,0,0,0,297.0664686,49.5110781,BENIGN
24826,4,2,136,428,34,34,34,0,214,214,214,0,22718.1181,241.6821075,BENIGN
93628,1,1,48,48,48,48,48,0,48,48,48,0,1025.334302,21.36113129,BENIGN
4675203,1,5,6,30,6,6,6,0,6,6,6,0,7.700200398,1.283366733,BENIGN
192,2,2,76,180,38,38,38,0,90,90,90,0,1333333.333,20833.33333,BENIGN
1447616,2,2,102,259,52,50,51,1.414213562,136,123,129.5,9.192388155,249.375525,2.763163712,BENIGN
119074876,21,20,3553,2515,1549,0,169.1904762,348.7204638,1126,0,125.75,249.5055901,50.95953239,0.344321165,BENIGN
198,2,2,46,46,23,23,23,0,23,23,23,0,464646.4646,20202.0202,BENIGN
5534710,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.168135277,0.722711759,BENIGN
661118,9,10,703,3950,267,0,78.11111111,103.3022803,1448,0,395,587.483144,7038.077923,28.73919633,BENIGN
213,2,2,78,274,39,39,39,0,137,137,137,0,1652582.16,18779.34272,BENIGN
74,1,1,6,6,6,6,6,0,6,6,6,0,162162.1622,27027.02703,BENIGN
7617948,1,6,6,36,6,6,6,0,6,6,6,0,5.513295706,0.918882618,BENIGN
160,2,2,90,164,45,45,45,0,82,82,82,0,1587500,25000,BENIGN
16035916,10,9,2475,856,630,0,247.5,313.2869647,209,0,95.11111111,107.1137765,207.7212178,1.18484033,BENIGN
116346257,21,20,802,5927,355,0,38.19047619,86.73097431,1460,0,296.35,538.7354858,57.83598178,0.352396382,BENIGN
253,2,2,64,536,32,32,32,0,268,268,268,0,2371541.502,15810.27668,BENIGN
80652925,5,9,11607,62,8760,0,2321.4,3802.315321,20,0,6.888888889,5.30199124,144.6816715,0.173583289,BENIGN
60504088,17,17,5523,3965,1739,0,324.8823529,676.391333,1627,0,233.2352941,502.5087722,156.8158502,0.5619455,BENIGN
38052,1,1,59,121,59,59,59,0,121,121,121,0,4730.368969,52.55965521,BENIGN
70051104,17,19,7349,4778,3381,0,432.2941176,1032.916669,2503,0,251.4736842,643.0867721,173.1164722,0.51391053,BENIGN
1557717,1,1,40,96,40,40,40,0,96,96,96,0,87.30725799,1.283930265,BENIGN
1224356,8,7,804,708,437,0,100.5,154.7117135,517,0,101.1428571,193.0944748,1234.934937,12.25133866,BENIGN
189,2,2,84,204,42,42,42,0,102,102,102,0,1523809.524,21164.02116,BENIGN
47264,1,1,49,93,49,49,49,0,93,93,93,0,3004.400812,42.3155044,BENIGN
8059155,1,5,6,30,6,6,6,0,6,6,6,0,4.466969552,0.744494925,BENIGN
5927917,1,5,6,30,6,6,6,0,6,6,6,0,6.072959524,1.012159921,BENIGN
46972,1,1,47,180,47,47,47,0,180,180,180,0,4832.666269,42.57855744,BENIGN
30429,1,1,40,56,40,40,40,0,56,56,56,0,3154.885142,65.7267738,BENIGN
61495,2,2,62,182,31,31,31,0,91,91,91,0,3967.80226,65.04593869,BENIGN
157,2,2,68,132,34,34,34,0,66,66,66,0,1273885.35,25477.70701,BENIGN
3,2,0,124,0,62,62,62,0,0,0,0,0,41300000,666666.6667,BENIGN
5492680,9,11,931,4555,624,0,103.4444444,206.6719085,1448,0,414.0909091,602.3001668,998.7838359,3.641209756,BENIGN
16650,1,1,48,48,48,48,48,0,48,48,48,0,5765.765766,120.1201201,BENIGN
87462,1,1,0,0,0,0,0,0,0,0,0,0,0,22.8670737,BENIGN
3852908,1,6,6,36,6,6,6,0,6,6,6,0,10.90085722,1.816809537,BENIGN
151,2,2,82,114,41,41,41,0,57,57,57,0,1298013.245,26490.06623,BENIGN
74,1,1,6,6,6,6,6,0,6,6,6,0,162162.1622,27027.02703,BENIGN
